kakao_id,name,category,region,phone,url,lat,lng,raw_category,style,district,price_min,price_max,description,rating,review_count
1426961148,클레스튜디오,studio,서울 강남구 논현동 57-6,02-514-3530,http://place.map.kakao.com/1426961148,37.5137008805794,127.027473358377,"가정,생활 > 결혼 > 웨딩스튜디오","{""모던"",""클래식"",""럭셔리""}",강남구,100,300,고급스러운 웨딩 촬영을 제공하는 스튜디오,,0
1364569871,소르아웨딩,studio,서울 강남구 청담동 40-9,010-3974-8978,http://place.map.kakao.com/1364569871,37.51919656334894,127.04135049829466,"가정,생활 > 결혼 > 웨딩스튜디오","{""모던"",""럭셔리"",""로맨틱""}",강남구,100,300,소르아웨딩은 현대적이면서 고급스러운 웨딩 스타일을 제공하는 스튜디오입니다.,,0
1662835744,버드투 블룸스튜디오 1호점,studio,서울 강남구 청담동 9,02-547-7003,http://place.map.kakao.com/1662835744,37.5221953350124,127.04788614374,"가정,생활 > 결혼 > 웨딩스튜디오","{""모던"",""럭셔리"",""로맨틱""}",강남구,100,300,세련된 분위기와 고급스러운 웨딩 촬영을 제공하는 스튜디오,,0
1500860601,메종드힐,studio,서울 강남구 역삼동 614,02-568-0822,http://place.map.kakao.com/1500860601,37.5040390852705,127.028822442273,"가정,생활 > 결혼 > 웨딩스튜디오","{""모던"",""럭셔리""}",강남구,100,300,현대적인 감각과 럭셔리한 분위기의 웨딩스튜디오,,0
14613533,21그램,studio,서울 강남구 논현동 34-12,02-794-2470,http://place.map.kakao.com/14613533,37.51635397480709,127.02898780018924,"가정,생활 > 결혼 > 웨딩스튜디오","{""모던"",""클래식"",""로맨틱""}",강남구,100,300,21그램은 모던하고 클래식한 웨딩 사진과 로맨틱한 촬영을 제공합니다.,,0
1847910964,메리드스튜디오,studio,서울 강남구 논현동 86-15,02-548-7774,http://place.map.kakao.com/1847910964,37.5154738854383,127.031748547201,"가정,생활 > 결혼 > 웨딩스튜디오","{""모던"",""내추럴"",""럭셔리""}",강남구,100,300,세련되고 현대적인 웨딩 촬영 스타일을 제공하는 스튜디오,,0
26824739,비포원스튜디오,studio,서울 강남구 논현동 251,02-541-9030,http://place.map.kakao.com/26824739,37.5139366837326,127.038140909487,"가정,생활 > 결혼 > 웨딩스튜디오","{""모던"",""럭셔리"",""클래식""}",강남구,100,300,비포원스튜디오는 고급스러운 웨딩 촬영을 제공하는 스튜디오입니다.,,0
1167510345,아이브스튜디오,studio,서울 강남구 논현동 265-10,02-512-2994,http://place.map.kakao.com/1167510345,37.5125968759934,127.04087858733153,"가정,생활 > 결혼 > 웨딩스튜디오","{""모던"",""로맨틱""}",강남구,100,300,아이브스튜디오는 고급스러운 웨딩 촬영을 전문으로 하는 스튜디오입니다.,,0
57461162,클레브스튜디오,studio,서울 강남구 역삼동 830-57,070-4843-0024,http://place.map.kakao.com/57461162,37.49465145395142,127.03247928408722,"가정,생활 > 결혼 > 웨딩스튜디오","{""모던"",""클래식"",""로맨틱""}",강남구,100,300,클레브스튜디오는 모던하고 클래식한 웨딩 촬영을 전문으로 하는 스튜디오입니다.,,0
643554117,스튜디오 클로드 논현점,studio,서울 강남구 논현동 255-20,02-512-1443,http://place.map.kakao.com/643554117,37.51321879622534,127.04021610453046,"가정,생활 > 결혼 > 웨딩스튜디오","{""모던"",""클래식"",""럭셔리""}",강남구,100,300,스튜디오 클로드 논현점은 세련된 모던한 스타일과 클래식한 아름다움을 동시에 제공합니다.,,0
